latitude,longitude
-6.8205966,39.3033555
-6.8206033,39.3027721
-6.8206456,39.302428
-6.8206985,39.302172
-6.820809,39.3020184
-6.8210168,39.3017851
-6.8211772,39.301543
-6.8212545,39.3014934
-6.8212971,39.3014753
-6.821325,39.3014639
-6.8213763,39.3014518
-6.8214306,39.3014454
-6.8214688,39.301429
-6.8214865,39.3014207
-6.8215388,39.3013962
-6.821618,39.3013747
-6.8217059,39.3013707
-6.8217823,39.3013795
-6.8218563,39.3013975
-6.8219136,39.3014123
-6.8219496,39.3014243
-6.8219895,39.301427
-6.8220574,39.3014015
-6.8222037,39.3013631
-6.8224152,39.3013074
-6.8225776,39.3013311
-6.8227239,39.3013951
-6.8228701,39.3014842
-6.8230375,39.3015674
-6.8232074,39.3015975
-6.8232488,39.3015898
-6.8232825,39.3015866
-6.8233504,39.3016012
-6.8234833,39.3016218
-6.8234969,39.3016191
-6.8236876,39.3015809
-6.8242368,39.3014449
-6.8245746,39.301302
-6.8248338,39.3011051
-6.8250882,39.3007793
-6.8253052,39.3002348
-6.8254597,39.2993309
-6.825481,39.2991686
-6.825457,39.2988293
-6.8254517,39.2985409
-6.8253278,39.2982754
-6.825188,39.2978328
-6.8250322,39.2974198
-6.8249004,39.2970403
-6.8248698,39.2966768
-6.8249204,39.2963818
-6.8250029,39.2961283
-6.8250056,39.2958306
-6.8249696,39.2955932
-6.8249031,39.2953075
-6.8248857,39.2950447
-6.8248644,39.2947926
-6.824919,39.2946625
-6.8250455,39.2945498
-6.8252546,39.2945163
