latitude,longitude
-5.8225643,37.5521779
-5.8234883,37.5541941
-5.8247299,37.5546497
-5.8291424,37.5554183
-5.8300162,37.555783
-5.8302476,37.5564247
-5.8299742,37.557297
-5.8293325,37.5578951
-5.8294715,37.5583535
-5.8300702,37.5589025
-5.8308506,37.5586711
-5.8319527,37.5584389
-5.8327347,37.5588498
-5.8394039,37.5617689
-5.840922,37.5625449
-5.8421188,37.5634135
-5.8439147,37.5650146
-5.8439626,37.5657944
-5.8426347,37.5675411
-5.8425928,37.5691469
-5.8422733,37.5699735
-5.8415395,37.57048
-5.841175,37.5716738
-5.8408552,37.5723627
-5.8397549,37.573283
-5.8386567,37.5750291
-5.8388461,37.5772766
-5.8397704,37.5794305
-5.8405993,37.5801625
-5.8420706,37.5806175
-5.8431273,37.5806149
-5.8439103,37.5813928
-5.8447413,37.5829964
-5.8455244,37.5838203
-5.8461235,37.5845528
-5.8459877,37.5853331
-5.8470003,37.5860646
-5.8483341,37.5866576
-5.8501765,37.5884881
-5.8520172,37.5896763
-5.8528465,37.5905918
-5.8530349,37.5924265
-5.8523022,37.5933918
-5.8529942,37.594537
-5.8538225,37.5950396
-5.8541932,37.5963233
-5.8561236,37.5966396
-5.8569055,37.5969588
-5.8577356,37.5981955
-5.8573251,37.5993893
-5.8559072,37.6019621
-5.8557725,37.6032011
-5.8561905,37.6050353
-5.856791,37.6063184
-5.8583637,37.6091031
-5.8591363,37.6086181
-5.8597639,37.6083028
-5.861231,37.6087175
-5.8633277,37.6096536
-5.8642702,37.6096513
-5.8665735,37.6094364
-5.8681451,37.6097463
-5.869613,37.6104747
-5.8713961,37.6116208
-5.8727592,37.6123495
-5.8740164,37.6125556
-5.8752712,37.6118203
-5.8765271,37.6115035
-5.8779934,37.6116044
-5.879776,37.6125413
-5.8828129,37.6125338
-5.8865833,37.6127336
-5.8906671,37.6126189
-5.8944352,37.6118774
-5.8963189,37.6113498
-5.8997762,37.6119687
-5.9008244,37.6123845
-5.9015622,37.6142653
-5.9021959,37.6164602
-5.9047196,37.6206377
-5.9060841,37.6218894
-5.9080769,37.6231396
-5.9092301,37.6236597
-5.9100673,37.6234485
-5.9112218,37.6244916
-5.911015,37.625538
-5.9107032,37.6264801
-5.9116475,37.62721
-5.9124863,37.6276263
-5.9145801,37.6274119
-5.9150011,37.6282477
-5.9150063,37.6303396
-5.9152211,37.6325356
-5.9154321,37.6331626
-5.9171081,37.6333677
-5.9183661,37.6338876
-5.9210857,37.6326257
-5.9225508,37.6322038
-5.9237035,37.6325147
-5.9247522,37.6331397
-5.9262186,37.6332407
-5.9290453,37.63292
-5.930198,37.6332309
-5.9322924,37.6332258
-5.9357438,37.6314391
-5.937419,37.6313303
-5.9395155,37.632162
-5.9416107,37.6324706
-5.9446473,37.6323585
-5.9468488,37.6323554
-5.9493611,37.6328699
-5.9514591,37.6343291
-5.9524055,37.6358958
-5.9525153,37.6379876
-5.9519953,37.6393157
-5.9511625,37.6414428
-5.9485555,37.6459472
-5.9467822,37.6487758
-5.9452193,37.6520222
-5.9434459,37.6548508
-5.9419864,37.657574
-5.9403174,37.6602977
-5.937813,37.6639648
-5.9368755,37.6660591
-5.9333248,37.670147
-5.9277893,37.6763317
-5.9251772,37.6788483
-5.9229852,37.6818869
-5.9191197,37.6857662
-5.9154635,37.689645
-5.9125355,37.69143
-5.9101273,37.6916449
-5.9086622,37.6920667
-5.9080365,37.6932188
-5.9072007,37.6940575
-5.9041696,37.6965749
-5.9020774,37.6975212
-5.8999858,37.6987812
-5.8975784,37.6993098
-5.8962219,37.7014048
-5.8949676,37.7024537
-5.8936101,37.7041304
-5.8929852,37.7055961
-5.8924633,37.7063295
-5.8915212,37.7065409
-5.8887984,37.7065472
-5.8881696,37.7063394
-5.8866011,37.707389
-5.8857156,37.7077451
-5.8850317,37.7080202
-5.8838824,37.7091734
-5.8833605,37.7099067
-5.8834662,37.7103249
-5.882695,37.7104066
-5.8817138,37.7111042
-5.8810575,37.7106558
-5.8804029,37.7109027
-5.8794168,37.7109478
-5.8785193,37.7109888
-5.878111,37.7114805
-5.8780308,37.7122169
-5.8778275,37.7128718
-5.8773367,37.7131183
-5.8757399,37.7132446
-5.8756194,37.7142674
-5.874719,37.7144739
-5.8741875,37.7148841
-5.8725923,37.7157058
-5.8724706,37.7161968
-5.8720622,37.7166885
-5.8717976,37.7168025
-5.8718863,37.7168949
-5.8715659,37.7174003
-5.8694539,37.7180475
-5.8657834,37.72035
-5.8656475,37.7211762
-5.8656956,37.7221396
-5.8662936,37.7224135
-5.8670746,37.7224117
-5.8676248,37.7219058
-5.8683599,37.7218582
-5.8690963,37.7224071
-5.8687302,37.7230503
-5.8689616,37.7237839
-5.8693751,37.7237829
-5.8699255,37.7233688
-5.8701998,37.7227717
-5.8705669,37.7225873
-5.871119,37.7229072
-5.8718563,37.7238691
-5.8730505,37.7236828
-5.8736024,37.723911
-5.8750764,37.7255594
-5.8764592,37.7274833
-5.8777966,37.7296827
-5.8763732,37.7300988
-5.8763738,37.7303283
-5.8767887,37.7309697
-5.8759164,37.7312469
-5.8751011,37.7364335
-5.8743685,37.7375364
-5.8728995,37.7392588
-5.8725153,37.7406131
-5.8711609,37.7410029
-5.8701967,37.7427452
-5.8680695,37.74391
-5.8705904,37.7456445
-5.87485,37.745635
-5.8750605,37.7531752
-5.8760363,37.7566533
-5.8773891,37.7554902
-5.880101,37.7560643
-5.8829979,37.7527708
-5.8847469,37.7556672
-5.8876521,37.7560475
-5.8907482,37.7552672
-5.89095,37.7589405
-5.8905675,37.7610683
-5.8907646,37.7626147
-5.8880591,37.764941
-5.8888374,37.7666795
-5.8888472,37.7711266
-5.8911719,37.7717016
-5.8933081,37.7745973
-5.8950519,37.7751736
-5.8960787,37.7757317
-5.8977122,37.7756466
-5.8988545,37.7750731
-5.8999168,37.7752339
-5.9007352,37.7759663
-5.8995123,37.7770294
-5.8982059,37.777277
-5.8968999,37.7776877
-5.8956743,37.7775273
-5.8955956,37.7789142
-5.8957629,37.7807084
-5.8982138,37.7808662
-5.8982974,37.7817634
-5.8973202,37.7831523
-5.8962598,37.7838072
-5.8963424,37.7842149
-5.8978148,37.7851905
-5.8981428,37.7857608
-5.8975749,37.7875567
-5.8981493,37.7887791
-5.8928507,37.7937666
-5.8928544,37.7954796
