latitude,longitude
-6.9036089,39.3049445
-6.9036089,39.3051656
-6.9036282,39.3052676
-6.9037658,39.305993
-6.90382,39.3072276
-6.9037856,39.3075452
-6.9032819,39.30745
-6.8997275,39.3077472
-6.8992428,39.3081952
-6.8974943,39.3099035
-6.8967306,39.3114256
-6.8964757,39.3114152
-6.8963187,39.3113803
-6.8959991,39.3113958
-6.8959289,39.311513
-6.8959181,39.3115494
-6.8958274,39.3118565
-6.8957649,39.3120361
-6.8956244,39.3122001
-6.8955633,39.3122458
-6.8954057,39.312364
-6.8951793,39.3126295
-6.8951403,39.3127935
-6.8951793,39.3130043
-6.8951637,39.3131214
-6.895109,39.3132932
-6.8949685,39.3133947
-6.8947655,39.3135275
-6.893302,39.3155965
-6.8932725,39.3154338
-6.8929914,39.3153451
-6.8927695,39.3153746
-6.8926364,39.3155374
-6.8926364,39.3157149
-6.8925624,39.3161587
-6.8924145,39.3162622
-6.8921778,39.3159811
-6.8921186,39.315774
-6.8920742,39.3156409
-6.8919115,39.3154782
-6.8918228,39.3155226
-6.8917784,39.3157149
-6.8917784,39.315848
-6.8917192,39.3161291
-6.8914825,39.3161735
-6.8913642,39.3157297
-6.8912163,39.3155965
-6.8910831,39.3153451
-6.8908464,39.3151675
-6.8908021,39.3153451
-6.8906985,39.3157888
-6.8902695,39.3159368
-6.8897961,39.3159368
-6.8894855,39.3159959
-6.889308,39.3159072
-6.8890861,39.3155817
-6.8888859,39.3148887
-6.8883775,39.3146628
-6.8881704,39.3147193
-6.8879257,39.3151523
-6.8877186,39.3156983
-6.8874362,39.3160372
-6.8870784,39.3159619
-6.8868337,39.315623
-6.8867772,39.3148134
-6.8867395,39.3140603
-6.8863818,39.3138908
-6.8863375,39.3139241
-6.8863372,39.3139242
-6.8863375,39.313924
-6.8855637,39.314346
-6.8849874,39.3146527
-6.8842638,39.3146795
-6.8835269,39.3145053
-6.8832511,39.3140082
-6.8829507,39.3132324
-6.8836409,39.3125705
-6.8845417,39.311687
-6.8846629,39.3109768
-6.8847664,39.3105416
-6.8847664,39.3105415
-6.8847581,39.3099329
-6.8846165,39.3091685
-6.8846165,39.3091684
-6.8844466,39.3084323
-6.8844466,39.3084322
-6.8840502,39.3078376
-6.8836538,39.3075545
-6.8827195,39.3074129
-6.881468,39.3076956
-6.8804598,39.3074473
-6.8801905,39.3063466
-6.8810302,39.305355
-6.8815841,39.3050245
-6.8823703,39.3043902
-6.8828455,39.3031091
-6.8828455,39.303109
-6.882773,39.3021374
-6.8827729,39.3021373
-6.8825264,39.3013541
-6.8821493,39.3005565
-6.8812936,39.2993817
-6.8804234,39.29841
-6.8795113,39.2978826
-6.8793883,39.2978606
-6.8790449,39.2977989
-6.8784248,39.2976877
-6.8782195,39.2976509
-6.8777226,39.2976169
-6.8772496,39.2975455
-6.8768836,39.2975633
-6.8762053,39.297483
-6.87561,39.2975727
-6.8752434,39.2975727
-6.8751693,39.2975763
-6.8747906,39.2975943
-6.8742443,39.2976877
-6.8736334,39.2978171
-6.8731302,39.2979177
-6.8726917,39.297774
-6.8715201,39.2971486
-6.87153,39.2963844
-6.871781,39.2959352
-6.871781,39.2954729
-6.8717809,39.2954728
-6.8717413,39.2947991
-6.8717413,39.2940858
-6.8717413,39.2940857
-6.8716488,39.2932667
-6.8714111,39.2922892
-6.8714111,39.2922891
-6.8710544,39.2916286
-6.8708733,39.2912556
-6.8706389,39.2909787
-6.8701915,39.2903821
-6.8699146,39.2897643
-6.8697655,39.2890826
